Source,Source_Key,Target,Target_Key
derivations,Process_ID,derivationalprocesses,
derivations,Root_ID,morphs,
derivations,Source_ID,stems,
derivations,Stempart_IDs,stemparts,
derivations,Target_ID,stems,
exampleparts,Example_ID,ExampleTable,
exampleparts,Parameter_ID,ParameterTable,
exampleparts,Wordform_ID,wordforms,
examples,Text_ID,texts,
inflectionalvalues,Category_ID,inflectionalcategories,
inflectionalvalues,Gloss_ID,glosses,
inflections,Form_ID,forms,
inflections,Stem_ID,stems,
inflections,Value_ID,inflectionalvalues,
inflections,Wordformpart_ID,wordformparts,
lexemes,Parameter_ID,ParameterTable,
morphemes,Parameter_ID,ParameterTable,
morphs,Morpheme_ID,morphemes,
morphs,Parameter_ID,ParameterTable,
stemparts,Gloss_ID,glosses,
stemparts,Morph_ID,morphs,
stemparts,Stem_ID,stems,
stems,Gloss_ID,glosses,
stems,Lexeme_ID,lexemes,
stems,Parameter_ID,ParameterTable,
wordformparts,Gloss_ID,glosses,
wordformparts,Morph_ID,morphs,
wordformparts,Wordform_ID,wordforms,
wordforms,Parameter_ID,ParameterTable,
wordforms,Stem_ID,stems,
